Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor	Brand
1	Avengers: Endgame	$858,373,000	4,662	$357,115,007	4,662	Apr 26, 2019	Walt Disney Studios Motion Pictures	Marvel Comics
2	Spider-Man: No Way Home	$804,310,488	4,336	$260,138,569	4,336	Dec 17, 2021	Sony Pictures Entertainment (SPE)	Marvel Comics
3	Black Panther	$700,059,566	4,084	$202,003,951	4,020	Feb 16, 2018	Walt Disney Studios Motion Pictures	Marvel Comics
4	Avengers: Infinity War	$678,815,482	4,474	$257,698,183	4,474	April 27, 2018	Walt Disney Studios Motion Pictures	Marvel Comics
5	The Avengers	$623,357,910	4,349	$207,438,708	4,349	May 4, 2012	Walt Disney Studios Motion Pictures	Marvel Comics
6	Avengers: Age of Ultron	$459,005,868	4,276	$191,271,109	4,276	May 1, 2015	Walt Disney Studios Motion Pictures	Marvel Comics
7	Captain Marvel	$426,829,839	4,310	$153,433,423	4,310	March 8, 2019	Walt Disney Studios Motion Pictures	Marvel Comics
8	Iron Man 3	$409,013,994	4,253	$174,144,585	4,253	May 3, 2013	Walt Disney Studios Motion Pictures	Marvel Comics
9	Captain America: Civil War	$408,084,349	4,226	$179,139,142	4,226	May 6, 2016	Walt Disney Studios Motion Pictures	Marvel Comics
10	Spider-Man	$403,706,375	3,876	$114,844,116	3,615	May 3, 2002	Sony Pictures Entertainment (SPE)	Marvel Comics
11	Spider-Man: Far from Home	$390,532,085	4,634	$92,579,212	4,634	July 2, 2019	Sony Pictures Entertainment (SPE)	Marvel Comics
12	Guardians of the Galaxy Vol. 2	$389,813,101	4,347	$146,510,104	4,347	May 5, 2017	Walt Disney Studios Motion Pictures	Marvel Comics
13	Spider-Man 2	$373,585,825	4,166	$88,156,227	4,152	Jun 30, 2004	Sony Pictures Entertainment (SPE)	Marvel Comics
14	Deadpool	$363,070,709	3,856	$132,434,639	3,558	February 12, 2016	Twentieth Century Fox	Marvel Comics
15	Spider-Man 3	$336,530,303	4,324	$151,116,516	4,252	May 4, 2007	Sony Pictures Entertainment (SPE)	Marvel Comics
16	Spider-Man: Homecoming	$334,201,140	4,348	$117,027,503	4,348	Jul 7, 2017	Sony Pictures Entertainment (SPE)	Marvel Comics
