Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	Alice in Wonderland	$334,191,110	3,739	$116,101,023	3,728	Mar 5, 2010	Walt Disney Studios Motion Pictures	Tim Burton-Johnny Depp
2	Charlie and the Chocolate Factory	$206,459,076	3,790	$56,178,450	3,770	Jul 15, 2005	Warner Bros.	Tim Burton-Johnny Depp
3	Sleepy Hollow	$101,071,502	3,069	$30,060,467	3,064	Nov 19, 1999	Paramount Pictures	Tim Burton-Johnny Depp
4	Dark Shadows	$79,727,149	3,755	$29,685,274	3,755	May 11, 2012	Warner Bros.	Tim Burton-Johnny Depp
5	Edward Scissorhands	$56,362,352	1,372	$159,622	2	Dec 7, 1990	Twentieth Century Fox	Tim Burton-Johnny Depp
6	Corpse Bride	$53,359,111	3,204	$388,166	5	September 16, 2005	Warner Bros.	Tim Burton-Johnny Depp
7	Sweeney Todd: The Demon Barber of Fleet Street	$52,898,073	1,507	$9,300,805	1,249	Dec 21, 2007	DreamWorks	Tim Burton-Johnny Depp
8	Ed Wood	$5,887,457	623	$71,566	2	Sep 30, 1994	Walt Disney Studios Motion Pictures	Tim Burton-Johnny Depp
