Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Franchise
1	Batman v Superman: Dawn of Justice	$330,360,194	4,256	$166,007,347	4,242	Mar 25, 2016	Warner Bros.	Superman
2	Man of Steel	$291,045,518	4,207	$116,619,362	4,207	Jun 14, 2013	Warner Bros.	Superman
3	Superman Returns	$200,081,192	4,065	$52,535,096	4,065	Jun 28, 2006	Warner Bros.	Superman
4	Superman	$134,218,018	817	$7,465,343	508	December 15, 1978	Warner Bros.	Superman
5	Superman II	$108,185,706	1,878	$14,100,523	1,397	Jun 19, 1981	Warner Bros.	Superman
6	Superman III	$59,950,623	1,763	$13,352,357	1,759	June 17, 1983	Warner Bros.	Superman
7	Superman IV: The Quest for Peace	$15,681,020	1,511	$5,683,122	1,511	Jul 24, 1987	Warner Bros.	Superman
8	Superman2018 Re-release	$233,585	394	$102,223	394	Nov 25, 2018	Fathom Events	Superman
