Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Franchise
1	Jurassic World	$652,270,625	4,291	$208,806,270	4,274	Jun 12, 2015	Universal Pictures	Jurassic Park
2	Jurassic World: Fallen Kingdom	$417,719,760	4,485	$148,024,610	4,475	Jun 22, 2018	Universal Pictures	Jurassic Park
3	Jurassic Park	$357,067,947	2,566	$47,026,828	2,404	Jun 11, 1993	Universal Pictures	Jurassic Park
4	The Lost World: Jurassic Park	$229,086,679	3,565	$72,132,785	3,281	May 23, 1997	Universal Pictures	Jurassic Park
5	Jurassic Park III	$181,171,875	3,462	$50,771,645	3,434	Jul 18, 2001	Universal Pictures	Jurassic Park
6	Jurassic Park2013 Re-release	$45,385,935	2,778	$18,620,145	2,771	April 5, 2013	Universal Pictures	Jurassic Park
7	Jurassic Park2018 Re-release	$374,238	532	$213,743	532	Sep 16, 2018	Fathom Events	Jurassic Park
-	Jurassic World: Dominion	-	-	-	-	Jun 11, 2021	Universal Pictures	Jurassic Park
