Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor	Franchise
1	Harry Potter and the Deathly Hallows: Part 2	$381,011,219	4,375	$169,189,427	4,375	Jul 15, 2011	Warner Bros.	Harry Potter
2	Harry Potter and the Sorcerer's Stone	$317,575,550	3,672	$90,294,621	3,672	Nov 16, 2001	Warner Bros.	Harry Potter
3	Harry Potter and the Half-Blood Prince	$301,959,197	4,455	$77,835,727	4,325	Jul 15, 2009	Warner Bros.	Harry Potter
4	Harry Potter and the Deathly Hallows: Part 1	$295,983,305	4,125	$125,017,372	4,125	Nov 19, 2010	Warner Bros.	Harry Potter
5	Harry Potter and the Order of the Phoenix	$292,004,738	4,285	$77,108,414	4,285	Jul 11, 2007	Warner Bros.	Harry Potter
6	Harry Potter and the Goblet of Fire	$290,013,036	3,858	$102,685,961	3,858	Nov 18, 2005	Warner Bros.	Harry Potter
7	Harry Potter and the Chamber of Secrets	$261,988,482	3,682	$88,357,488	3,682	Nov 15, 2002	Warner Bros.	Harry Potter
8	Harry Potter and the Prisoner of Azkaban	$249,541,069	3,855	$93,687,367	3,855	Jun 4, 2004	Warner Bros.	Harry Potter
9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX	Harry Potter
9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX	Harry Potter
9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX	Harry Potter
9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX	Harry Potter
9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX	Harry Potter
9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX	Harry Potter
9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX	Harry Potter
9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX	Harry Potter
17	Harry Potter and the Sorcerer's Stone2018 Re-release	$295,917	-	-	-	Sep 2, 2018	Warner Bros.	Harry Potter
18	Harry Potter and the Chamber of Secrets2018 Re-release	$245,501	-	-	-	Sep 2, 2018	Warner Bros.	Harry Potter
19	Harry Potter and the Prisoner of Azkaban2018 Re-release	$218,774	-	-	-	Sep 2, 2018	Warner Bros.	Harry Potter
20	Harry Potter and the Goblet of Fire2018 Re-release	$188,716	-	-	-	Sep 2, 2018	Warner Bros.	Harry Potter
21	Harry Potter and the Deathly Hallows: Part 22018 Re-release	$181,938	-	-	-	Sep 2, 2018	Warner Bros.	Harry Potter
22	Harry Potter and the Deathly Hallows: Part 12018 Re-release	$148,263	-	-	-	Sep 2, 2018	Warner Bros.	Harry Potter
23	Harry Potter and the Order of the Phoenix2018 Re-release	$132,522	-	-	-	Sep 2, 2018	Warner Bros.	Harry Potter
24	Harry Potter and the Half-Blood Prince2018 Re-release	$130,081	-	-	-	Sep 2, 2018	Warner Bros.	Harry Potter
