Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Franchise
1	Toy Story 4	$434,038,008	4,575	$120,908,065	4,575	Jun 21, 2019	Walt Disney Studios Motion Pictures	Toy Story
2	Toy Story 3	$415,004,880	4,028	$110,307,189	4,028	Jun 18, 2010	Walt Disney Studios Motion Pictures	Toy Story
3	Toy Story 2	$245,852,179	3,257	$300,163	1	Nov 19, 1999	Walt Disney Studios Motion Pictures	Toy Story
4	Toy Story	$191,796,233	2,574	$29,140,617	2,457	November 22, 1995	Walt Disney Studios Motion Pictures	Toy Story
5	Toy Story2009 Re-release	$30,702,446	1,752	$12,491,789	1,745	Oct 2, 2009	Walt Disney Studios Motion Pictures	Toy Story
