Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Franchise
1	Transformers: Revenge of the Fallen	$402,111,870	4,293	$108,966,307	4,234	Jun 24, 2009	DreamWorks	Transformers
2	Transformers: Dark of the Moon	$352,390,543	4,088	$97,852,865	4,088	Jun 29, 2011	DreamWorks	Transformers
3	Transformers	$319,246,193	4,050	$70,502,384	4,011	Jul 3, 2007	DreamWorks	Transformers
4	Transformers: Age of Extinction	$245,439,076	4,233	$100,038,390	4,233	June 27, 2014	Paramount Pictures	Transformers
5	Transformers: The Last Knight	$130,168,683	4,132	$44,680,073	4,069	Jun 21, 2017	Paramount Pictures	Transformers
6	Bumblebee	$127,195,589	3,597	$21,654,047	3,550	December 21, 2018	Paramount Pictures	Transformers
7	The Transformers: The Movie	$5,849,647	990	$1,779,559	990	Aug 8, 1986	De Laurentiis Entertainment Group (DEG)	Transformers
